id,lesson,question,answer
28,ai,"Что такое обучение с подкреплением?","Обучение с подкреплением - это тип машинного обучения, где агент учится принимать решения через взаимодействие со средой и получение наград"
29,math,"Что такое множество?","Множество - это совокупность различных элементов, рассматриваемых как единое целое, основное понятие теории множеств"
30,python,"Что такое lambda-функция в Python?","Lambda-функция в Python - это анонимная функция, определяемая с помощью ключевого слова lambda, используемая для создания простых функций"
31,ai,"Что такое случайный лес?","Случайный лес - это ансамблевый метод машинного обучения, который использует множество деревьев решений для повышения точности прогнозов"
32,math,"Что такое дифференциальное уравнение?","Дифференциальное уравнение - это уравнение, связывающее функцию с её производными различных порядков"
33,python,"Что такое итератор в Python?","Итератор в Python - это объект, который реализует протокол итерации и позволяет перебирать элементы коллекции по одному"
34,ai,"Что такое градиентный спуск?","Градиентный спуск - это алгоритм оптимизации, используемый для минимизации функции потерь путем итеративного движения в направлении наибольшего убывания"
35,math,"Что такое ряд Тейлора?","Ряд Тейлора - это представление функции в виде бесконечной суммы слагаемых, выраженных через производные функции в определенной точке"
36,python,"Что такое множественное наследование в Python?","Множественное наследование в Python - это механизм, позволяющий классу наследовать свойства и методы от нескольких родительских классов"
37,ai,"Что такое переобучение в машинном обучении?","Переобучение - это проблема в машинном обучении, когда модель слишком хорошо запоминает обучающие данные, но плохо работает на новых данных"
38,math,"Что такое детерминант матрицы?","Детерминант матрицы - это скалярное значение, которое может быть вычислено для квадратной матрицы и характеризует некоторые её свойства"
39,python,"Что такое контекстный менеджер в Python?","Контекстный менеджер в Python - это объект, который определяет контекст выполнения для инструкции with, обеспечивая правильную инициализацию и очистку ресурсов"
40,ai,"Что такое метрики качества в машинном обучении?","Метрики качества - это численные показатели, используемые для оценки производительности модели машинного обучения, такие как точность, полнота, F1-мера"
41,math,"Что такое группа в алгебре?","Группа в алгебре - это множество с определенной на нем бинарной операцией, удовлетворяющей аксиомам ассоциативности, наличия единичного и обратного элементов"
42,python,"Что такое метакласс в Python?","Метакласс в Python - это класс, экземплярами которого являются классы, он определяет, как создаются и ведут себя классы"
43,ai,"Что такое ансамблевые методы?","Ансамблевые методы - это техники машинного обучения, которые комбинируют предсказания нескольких моделей для получения более точного и стабильного результата"
44,math,"Что такое топология?","Топология - это раздел математики, изучающий свойства пространств, которые сохраняются при непрерывных деформациях"
45,python,"Что такое GIL в Python?","GIL (Global Interpreter Lock) - это механизм в CPython, который позволяет выполнять только один поток Python-кода за раз, ограничивая многопоточность"
46,ai,"Что такое кластеризация?","Кластеризация - это задача машинного обучения без учителя, направленная на группировку объектов в кластеры на основе их сходства"
47,math,"Что такое мера в теории меры?","Мера - это функция, которая приписывает множествам неотрицательные числа, обобщающая понятия длины, площади и объема"
48,python,"Что такое дескриптор в Python?","Дескриптор в Python - это объект, который определяет, как получать, устанавливать или удалять значения атрибутов других объектов"
49,ai,"Что такое трансформер в глубоком обучении?","Трансформер - это архитектура нейронной сети, основанная на механизме внимания, которая стала основой для многих современных языковых моделей"
50,python,"Что такое asyncio в Python?","Asyncio - это библиотека в Python для написания конкурентного кода с использованием синтаксиса async/await для асинхронного программирования"
